INSTITUTION	STATE	COUNTRY	FY	TOTAL_FUNDING
UNIVERSITY OF CALIFORNIA SAN DIEGO	CA	UNITED STATES	2015	3807607
OHIO STATE UNIVERSITY	OH	UNITED STATES	2015	254018
UNIVERSITY OF CALIFORNIA SAN DIEGO	CA	UNITED STATES	2015	580906
UNIVERSITY OF CALIFORNIA SAN DIEGO	CA	UNITED STATES	2015	352937
UNIVERSITY OF CALIFORNIA SAN DIEGO	CA	UNITED STATES	2015	370781
UNIVERSITY OF CALIFORNIA SAN DIEGO	CA	UNITED STATES	2015	535436
UNIVERSITY OF CALIFORNIA SAN DIEGO	CA	UNITED STATES	2015	383750
UNIVERSITY OF CALIFORNIA SAN DIEGO	CA	UNITED STATES	2015	360580
UNIVERSITY OF CALIFORNIA SAN DIEGO	CA	UNITED STATES	2015	383670
UNIVERSITY OF WASHINGTON	WA	UNITED STATES	2015	212562
UNIVERSITY OF CALIFORNIA SAN DIEGO	CA	UNITED STATES	2015	388325
UNIVERSITY OF CALIFORNIA SAN DIEGO	CA	UNITED STATES	2015	432000
UNIVERSITY OF CALIFORNIA SAN DIEGO	CA	UNITED STATES	2015	291815
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	NC	UNITED STATES	2015	263899
OHIO STATE UNIVERSITY	OH	UNITED STATES	2015	1785690
UNIVERSITY OF NEBRASKA MEDICAL CENTER	NE	UNITED STATES	2015	2185000
UNIVERSITY OF TEXAS SW MED CTR	TX	UNITED STATES	2015	228698
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2015	2630723
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2015	419132
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2015	368882
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2015	366250
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2015	586469
J AND J SOLUTIONS INC	IA	UNITED STATES	2015	994889
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2015	383322
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2015	333000
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2015	451492
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2015	470157
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2015	1988528
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2015	380953
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2015	561343
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2015	276500
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2015	422097
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2015	336875
SEMBA INC	WI	UNITED STATES	2015	770523
